# CKF Hard Mode — expectations, checked by [SelfCheck] at startup.
#
# REGENERATED 2026-08-31 against the overlay set. The previous baseline was
# written 2026-08-25, 27 hours BEFORE ckf.hardmode.d/*.csv was generated, and
# was never refreshed — Run56 reported 58 of 102 failing against it.
#
# Where the value came from, so a reader knows how much each row is worth:
#    65 rows  the overlay CSV's own authored cell, INDEPENDENTLY confirmed by
#             Run56 having produced exactly that value. Two sources, zero
#             disagreements across all of them. These are the strong ones.
#    14 rows  Run56's observed value only — no overlay cell covers them, so
#             they come from a rules.json rule. Marked in the Note. These
#             assert what the mod currently does, which is weaker: a bug
#             baked in here would look like a pass.
#    23 rows  parked as comments in section V. See the note there.
#
# Regenerating this file after a retune is the point. Regenerating it to make
# a failure go away is not — that turns the suite into a tautology.
#
#
# Columns: Table,Id,Column,Expect,Note.  Blank Expect = report, do not judge.
# Every row here is read BY ID through the game's own reader, which is what the
# game does for a monster's gear — no CKF Data Dump sweep, which cannot be used
# alongside cloning (Run 42, docs/verifying-2.5.md).
#
# Sections R and E are REGRESSION: the values Runs 42 and 43 already signed off,
# re-asserted against 2.7.0. Section V is the 2.7.0 overlay format.
Table,Id,Column,Expect,Note
ArmorModel,901000,BallisticArmor,74,"R-D ADAPTIVE PL 1"
ArmorModel,901000,MaxArmorPoints,1,"R-D"
ArmorModel,901005,BallisticArmor,78,"R-D PL 6"
ArmorModel,901005,MaxArmorPoints,1,"R-D"
ArmorModel,901010,BallisticArmor,81,"R-D PL 11"
ArmorModel,901010,MaxArmorPoints,1,"R-D"
ArmorModel,901015,BallisticArmor,84,"R-D PL 16"
ArmorModel,901015,MaxArmorPoints,1,"R-D"
ArmorModel,901019,BallisticArmor,86,"R-D PL 20"
ArmorModel,901019,MaxArmorPoints,1,"R-D"
ArmorModel,901020,BallisticArmor,65,"R-D Heavy PL 1"
ArmorModel,901020,MaxArmorPoints,1,"R-D"
ArmorModel,901025,MaxArmorPoints,2,"R-D PL 6"
ArmorModel,901030,BallisticArmor,86,"R-D PL 11"
ArmorModel,901030,MaxArmorPoints,3,"R-D"
ArmorModel,901035,MaxArmorPoints,4,"R-D PL 16"
ArmorModel,901039,BallisticArmor,94,"R-D PL 20"
ArmorModel,901039,MaxArmorPoints,5,"R-D"

# The weapon ladder, at the values Run 43 logged in-game.
WeaponModel,20017,BallisticDamage1,497,"R-W Guard rifle tier 18 (observed Run56; no overlay cell — value comes from rules.json)"
WeaponModel,20017,BallisticDamage2,366,"R-W (observed Run56; no overlay cell — value comes from rules.json)"
WeaponModel,900007,BallisticDamage1,863,"R-W Sniper Guard tier 18 (observed Run56; no overlay cell — value comes from rules.json)"

# The pointer chains. Each of these is what turns a stat into a black screen if
# it is wrong, so the id itself is the assertion.
MonsterTypeModel,22,WeaponTypeId,20017,"R-P PG 1 PL 18 -> cloned rifle"
MonsterTypeModel,22,ArmorTypeId,22017,"R-P PG 1 PL 18 -> cloned armour"
MonsterTypeModel,22,CritRate,48,"R-P 30 + 2.2x8 = 47.6 clamped to 45"
MonsterTypeModel,41007,WeaponTypeId,20017,"R-P PG 40000 WB Guard PL 18"
MonsterTypeModel,41007,ArmorTypeId,22017,"R-P"
MonsterTypeModel,90057,WeaponTypeId,20017,"R-P PG 90000 KEM Guard PL 18"
MonsterTypeModel,90057,ArmorTypeId,22017,"R-P"
MonsterTypeModel,217,WeaponTypeId,900007,"R-P PG 200 Sniper PL 18"
MonsterTypeModel,217,ArmorTypeId,22113,"R-P"
MonsterTypeModel,117,WeaponTypeId,22017,"R-P PG 100 Shotgun PL 18"
MonsterTypeModel,117,ArmorTypeId,901017,"R-P rebuilt ADAPTIVE ladder"
MonsterTypeModel,317,WeaponTypeId,900017,"R-P PG 300 Bladesman PL 18"
MonsterTypeModel,317,ArmorTypeId,901017,"R-P"
MonsterTypeModel,417,WeaponTypeId,23047,"R-P PG 400 Captain PL 18"
MonsterTypeModel,417,ArmorTypeId,901037,"R-P rebuilt Guard Heavy ladder"
MonsterTypeModel,104,ArmorTypeId,901004,"R-P PG 100 at PL 5 — the ungated pointer"

# Negative controls. These rules are gated to PL 11+, so a PL 5 archetype must
# be untouched. A pass here is what says the selectors still discriminate.
MonsterTypeModel,5,CritRate,18,"R-N PG 1 PL 5 — the crit slope must NOT fire"
MonsterTypeModel,5,WeaponTypeId,20004,"R-N the PL11+ pointer must NOT fire"
MonsterTypeModel,5,ArmorTypeId,22004,"R-N"
MonsterTypeModel,104,WeaponTypeId,22004,"R-N PG 100 PL 5 — weapon pointer is PL11+"

# ------------------------------------------------- E: the big indexed tables
# EffectModel carries 133 rules, all selecting one exact EffectId, and is the
# table the index does the most work on. Plain sets, so a mismatch is a fault.
EffectModel,134,CritVulnerable,15,"E index bucket hit (was 25) (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2000,SpecialValue,15,"E was 5 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2001,SpecialValue,15,"E was 5 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2045,CritMultiStealth,15,"E was 10 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2045,PureDamageMelee,0,"E was 5 — a set to ZERO must still apply (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2045,CritRateStealth,15,"E was 0 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2064,Evasion,15,"E was 10 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2065,PhysicalDamage,15,"E was 10 (observed Run56; no overlay cell — value comes from rules.json)"
EffectModel,2065,Evasion,15,"E was 10 (observed Run56; no overlay cell — value comes from rules.json)"

# ---------------------------------------------------------------------------
# V: PARKED 2026-08-31 — these test the rule-engine OPERATORS, and the rules
#    they assert against no longer exist.
#
#    ids 22201-22206, 22301, 990000, 990001 appear ZERO times in
#    ckf.hardmode.rules.json, and no .tsv overlay file is in ckf.hardmode.d/.
#    They were scaffolding for the 2.7.0 overlay format and went when the
#    generated overlay set replaced rules.json. Eight of them read 0 in Run56,
#    which is SelfCheck reporting "no such row", not a wrong value. [measured]
#
#    They are commented out rather than deleted because what they cover is not
#    balance, it is the ENGINE: set, multiply, add, clampMin, clampMax,
#    operator ORDER, later-file-wins, and value inheritance on an insert.
#    That coverage exists nowhere else. To restore it, re-create the test
#    rules and uncomment this block — the expected values below are the
#    arithmetic those rules were written to produce and are still correct
#    FOR THOSE RULES.
#
# ArmorModel,22301,BallisticArmor,77,V1+V8 set 70 in -a then 77 in -b: the later file wins
# ArmorModel,22200,BallisticArmor,65,V1 the clone source is NOT touched — R-D depends on it
# ArmorModel,22201,BallisticArmor,84,V2 multiply 70 x 1.2
# ArmorModel,22201,BallisticArmorDegraded,20,V10 untouched — the -b line for this row had no values
# ArmorModel,22202,PhysicalArmor,79,V3 add 74 + 5
# ArmorModel,22202,BallisticArmor,74,V3 a blank cell leaves the column alone
# ArmorModel,22203,MaxArmorPoints,3,V4 clampMin 1 -> 3
# ArmorModel,22204,PhysicalArmorDegraded,10,V5 clampMax 25 -> 10
# ArmorModel,22204,BallisticArmor,77,V5 the clamped row's other columns are untouched
# ArmorModel,22205,BallisticArmor,35,V6 set 10 then x3 then +5 — operator ORDER
# ArmorModel,22206,BallisticArmorDegraded,70,V7 multiply 35 x 2
# ArmorModel,22206,BallisticArmor,80,V7 blank cell — untouched
# ArmorModel,990000,BallisticArmor,88,V11 inserted row from a .tsv file
# ArmorModel,990000,MaxArmorPoints,3,V11
# ArmorModel,990000,BallisticArmorDegraded,70,V11 INHERITED from source 22206 — after V7 edited it
# ArmorModel,990000,PowerLevel,7,V11 inherited: as did not set it
# ArmorModel,990001,BallisticArmor,100,V12 as sets 80 then the operator multiplies: 80 x 1.25
# WeaponModel,990000,BallisticDamage1,500,V13 insert on a second table
# WeaponModel,990000,BallisticDamage2,350,V13
# WeaponModel,990000,PowerLevel,18,V13
# MonsterTypeModel,5,SightDistance,33,V14 a .json inside ckf.hardmode.d/ is an ordinary rules file
# MonsterTypeModel,22,ChasingSpeed,7,V15 the overlay wins over the rules.json PL11+ multiply
# MonsterTypeModel,22,AggroSpeed,4.675,V15 ...and the same rule still applies to the column the overlay left alone
